recall_number,language,title,statut,codes,heures,bulletin_url,lettre_url,lettre_urls,bulletin_file,lettre_file,lettre_files,parts_available,owner_letter_count,owner_letter_1,owner_letter_1_remedy,owner_letter_2,owner_letter_2_remedy,owner_letter_3,owner_letter_3_remedy,owner_letter_4,owner_letter_4_remedy,owner_letter_5,owner_letter_5_remedy,error,extracted_at
26S09,EN-US,Certain 2021-2024 Model Year Edge and 2021-2026 Bronco Vehicles -Infotainment Screen Blank,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112749/26S09-S2__Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110601/26S09_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S09,FR-CA,Certains véhicules Edge des années-modèles 2021 à 2024 et certains véhicules Bronco des années-modèles 2021 à 2026 – Écran d'infodivertissement vide,Solution disponible,26S09B / 26S09C / MT26S09D / 26S09MM,"0,9h / 0,3h / jusqu'à 6,5h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112750/26S09-S2__French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110605/26S09_French_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S12,EN-US,Certain 2026-2027 Model Year Econoline Vehicles Equipped with Exterior Sounder (Backup Alarm) -Hardshell Connector Replacement,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109621/26S12_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109780/26S12_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S12,FR-CA,Certains véhicules Econoline des années-modèles 2026 et 2027 équipés d'un résonateur extérieur (alarme de recul) - Remplacement du connecteur à boîtier rigide,Solution disponible,26S12,"0,4h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109623/26S12_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109781/26S12_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S13,EN-US,Certain 2025-2026 Model Year F-250 - F-350 Vehicles Equipped with Aluminum Rear Driveshaft - Rear Driveshaft Inspection,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110420/26S13_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109735/26S13_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S13,FR-CA,Certains véhicules F-250 et F-350 des années-modèles 2025 et 2026 équipés d'un arbre de transmission arrière en aluminium – Inspection de l'arbre de transmission arrière,Solution disponible,26S13A / 26S13B / 26S13ZZ,"0,3h / 0,5h / 0,2h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110423/26S13_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109736/26S13_French_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26C12,EN-US,Certain 2025-2026 Model Year Explorer Platinum Vehicles -Adaptive Front Lighting Update,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109782/26C12_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109932/26C12_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26C12,FR-CA,Certains véhicules Explorer Platinum des années-modèles 2025 et 2026 - Correction de l'éclairage avant adaptatif,Solution disponible,26C12B / MT26C12RR / 26C12MM,"0,3h / jusqu'à 4,5h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109785/26C12_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109933/26C12_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26C18,EN-US,"Certain 2020-2026 Model Year Aviator, Explorer, and Police Interceptor Utility Vehicles -Second Row Left-Hand and Right-Hand Seat Belt Retractor Floor Bolt Inspection",Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110432/26C18_R_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110204/26C18_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26C18,FR-CA,"Certains véhicules Aviator, Explorer et utilitaires Police Interceptor des années-modèles 2020 à 2026 – Inspection des boulons au plancher des enrouleurs de ceinture de sécurité du côté gauche et du côté droit des sièges de deuxième rangée",Solution disponible,26C18A / 26C18B / 26C18MM,"0,3h / 0,3h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110433/26C18_French_R_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110205/26C18_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
